data,method1,method2,noise,sigma,criteria,value,methods
Ceramic,HC (average),HC (single),Normal,2.0,V Measure,0.015024392963773997,HC (average):HC (single)
Ceramic,HC (average),K-Means,Laplace,0.0,ARI,0.8244450850389168,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.0,MI,0.774714957199089,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.0,Fowlkes Mallows,0.9115870279540691,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.0,V Measure,0.7765997862617123,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.5,ARI,0.6914851186875343,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.5,MI,0.6475325573767294,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.5,Fowlkes Mallows,0.8514857819040145,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,0.5,V Measure,0.6507728352800971,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.0,ARI,0.3230458131905792,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.0,MI,0.2762480757508179,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.0,Fowlkes Mallows,0.6828196634686008,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.0,V Measure,0.28336204322943126,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.5,ARI,0.0667465484234747,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.5,MI,0.05637130934174648,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.5,Fowlkes Mallows,0.6157325195737571,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,1.5,V Measure,0.0684054445242683,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,2.0,ARI,0.012079955424117524,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,2.0,MI,0.008904430740161019,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,2.0,Fowlkes Mallows,0.6218764870303561,HC (average):K-Means
Ceramic,HC (average),K-Means,Laplace,2.0,V Measure,0.02281578032232637,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.0,ARI,0.8244450850389168,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.0,MI,0.774714957199089,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.0,Fowlkes Mallows,0.9115870279540691,HC (average):K-Means
Ceramic,HC (average),K-Means,Normal,0.0,V Measure,0.7765997862617123,HC (average):K-Means
