data,model,iter,test_acc
PANCAN,XGB,71,0.9868995633187772
PANCAN,MLP,58,1.0
PANCAN,MLP,70,0.960698664188385
PANCAN,XGB,59,0.9956331877729258
PANCAN,MLP,64,0.9650654792785645
PANCAN,XGB,61,0.9912663755458516
PANCAN,XGB,75,0.982532751091703
PANCAN,SVM,17,0.9956331877729258
PANCAN,XGB,49,0.9912663755458516
PANCAN,LogisticLASSO,8,0.9912663755458516
PANCAN,Tree,48,0.9868995633187772
PANCAN,Tree,74,0.960698689956332
PANCAN,Tree,60,0.9912663755458516
PANCAN,LogisticLASSO,26,1.0
PANCAN,LogisticLASSO,32,1.0
PANCAN,LogisticLASSO,33,1.0
PANCAN,LogisticLASSO,27,0.9956331877729258
PANCAN,Tree,61,0.9912663755458516
PANCAN,Tree,75,0.965065502183406
PANCAN,Tree,49,0.9519650655021834
PANCAN,LogisticLASSO,9,1.0
PANCAN,XGB,48,1.0
PANCAN,SVM,16,1.0
PANCAN,XGB,74,0.9868995633187772
PANCAN,XGB,60,0.9956331877729258
PANCAN,MLP,65,0.9868995547294616
PANCAN,MLP,71,0.969432294368744
PANCAN,XGB,58,1.0
