data,method,sigma,noise,criteria,Consistency,Accuracy
PANCAN,HC (single),5.0,laplace,MI,0.0009606731159827209,-4.971680353963568e-05
PANCAN,HC (single),5.0,laplace,fowlkes mallows,0.9895183259912979,0.4936349629087815
PANCAN,HC (single),5.0,laplace,v_measure,0.006898555631191638,0.01020812946145721
PANCAN,HC (single),5.0,normal,ARI,0.007495793119761734,0.00017201946422038198
PANCAN,HC (single),5.0,normal,MI,0.0075085790421854145,0.00019031940868511035
PANCAN,HC (single),5.0,normal,fowlkes mallows,0.989586908625561,0.49380615793110233
PANCAN,HC (single),5.0,normal,v_measure,0.013407543473727138,0.010445703541528264
PANCAN,HC (ward),0.0,laplace,ARI,1.0,0.826252110683868
PANCAN,HC (ward),0.0,laplace,MI,1.0,0.8864086398349501
PANCAN,HC (ward),0.0,laplace,fowlkes mallows,1.0,0.8680210500997885
PANCAN,HC (ward),0.0,laplace,v_measure,1.0,0.8872024485840007
PANCAN,HC (ward),0.0,normal,ARI,1.0,0.826252110683868
PANCAN,HC (ward),0.0,normal,MI,1.0,0.8864086398349501
PANCAN,HC (ward),0.0,normal,fowlkes mallows,1.0,0.8680210500997885
PANCAN,HC (ward),0.0,normal,v_measure,1.0,0.8872024485840007
PANCAN,HC (ward),1.0,laplace,ARI,0.9139457080968223,0.809049906696923
PANCAN,HC (ward),1.0,laplace,MI,0.9154275286415201,0.8699989287690875
PANCAN,HC (ward),1.0,laplace,fowlkes mallows,0.9334618320881775,0.854789793612159
PANCAN,HC (ward),1.0,laplace,v_measure,0.9160104475145534,0.870906298431511
PANCAN,HC (ward),1.0,normal,ARI,0.9390423026092294,0.8122840684701884
PANCAN,HC (ward),1.0,normal,MI,0.9391751385177116,0.8776344052089143
PANCAN,HC (ward),1.0,normal,fowlkes mallows,0.9527657557957867,0.857277566789609
PANCAN,HC (ward),1.0,normal,v_measure,0.9395936693513668,0.8784880833142558
PANCAN,HC (ward),2.0,laplace,ARI,0.5572550399369436,0.6473845249698985
PANCAN,HC (ward),2.0,laplace,MI,0.6074366012919483,0.6988223347439777
PANCAN,HC (ward),2.0,laplace,fowlkes mallows,0.6613011955347287,0.732263841681675
PANCAN,HC (ward),2.0,laplace,v_measure,0.6101859256296974,0.700941814836272
PANCAN,HC (ward),2.0,normal,ARI,0.832179263268249,0.7777887381032937
PANCAN,HC (ward),2.0,normal,MI,0.8421181828622063,0.8354023274681821
PANCAN,HC (ward),2.0,normal,fowlkes mallows,0.8704691453635847,0.8309448110068332
PANCAN,HC (ward),2.0,normal,v_measure,0.8432095819749149,0.8365529259685676
PANCAN,HC (ward),3.0,laplace,ARI,0.15400635422331294,0.30036206249320324
