data,method1,method2,criteria,value,methods
Amphibians,HC (single),Spectral (NN),ARI,0.001518870323720439,HC (single):Spectral (NN)
Amphibians,HC (single),Spectral (NN),MI,0.023032213039546168,HC (single):Spectral (NN)
Amphibians,HC (single),Spectral (NN),Fowlkes Mallows,0.7102099347119432,HC (single):Spectral (NN)
Amphibians,HC (single),Spectral (NN),V Measure,0.03579207546692657,HC (single):Spectral (NN)
Amphibians,HC (ward),Spectral (NN),ARI,0.009325023564881461,HC (ward):Spectral (NN)
Amphibians,HC (ward),Spectral (NN),MI,0.016045970666721733,HC (ward):Spectral (NN)
Amphibians,HC (ward),Spectral (NN),Fowlkes Mallows,0.7188519699801955,HC (ward):Spectral (NN)
Amphibians,HC (ward),Spectral (NN),V Measure,0.029689333567390782,HC (ward):Spectral (NN)
Amphibians,K-Means,Spectral (NN),ARI,0.009563073081204,K-Means:Spectral (NN)
Amphibians,K-Means,Spectral (NN),MI,0.016510863775425565,K-Means:Spectral (NN)
Amphibians,K-Means,Spectral (NN),Fowlkes Mallows,0.7188171903972116,K-Means:Spectral (NN)
Amphibians,K-Means,Spectral (NN),V Measure,0.03011276147077112,K-Means:Spectral (NN)
Amphibians,K-Means (minibatch),Spectral (NN),ARI,0.017296643520192202,K-Means (minibatch):Spectral (NN)
Amphibians,K-Means (minibatch),Spectral (NN),MI,0.028924011868769032,K-Means (minibatch):Spectral (NN)
Amphibians,K-Means (minibatch),Spectral (NN),Fowlkes Mallows,0.7162800246294252,K-Means (minibatch):Spectral (NN)
Amphibians,K-Means (minibatch),Spectral (NN),V Measure,0.04212007723789843,K-Means (minibatch):Spectral (NN)
Amphibians,K-Means++,Spectral (NN),ARI,0.009563073081204,K-Means++:Spectral (NN)
Amphibians,K-Means++,Spectral (NN),MI,0.016510863775425565,K-Means++:Spectral (NN)
Amphibians,K-Means++,Spectral (NN),Fowlkes Mallows,0.7188171903972116,K-Means++:Spectral (NN)
Amphibians,K-Means++,Spectral (NN),V Measure,0.03011276147077112,K-Means++:Spectral (NN)
Amphibians,Birch,Spectral (NN),ARI,0.009325023564881461,Birch:Spectral (NN)
Amphibians,Birch,Spectral (NN),MI,0.016045970666721733,Birch:Spectral (NN)
Amphibians,Birch,Spectral (NN),Fowlkes Mallows,0.7188519699801955,Birch:Spectral (NN)
Amphibians,Birch,Spectral (NN),V Measure,0.029689333567390782,Birch:Spectral (NN)
Amphibians,Spectral (NN),Spectral (NN),ARI,1.0,Spectral (NN):Spectral (NN)
Amphibians,Spectral (NN),Spectral (NN),MI,1.0,Spectral (NN):Spectral (NN)
Amphibians,Spectral (NN),Spectral (NN),Fowlkes Mallows,1.0,Spectral (NN):Spectral (NN)
Amphibians,Spectral (NN),Spectral (NN),V Measure,1.0,Spectral (NN):Spectral (NN)
Amphibians,Spectral (NN),Spectral (RBF),ARI,-0.0010724004559858353,Spectral (NN):Spectral (RBF)
Amphibians,Spectral (NN),Spectral (RBF),MI,0.0024045422666068247,Spectral (NN):Spectral (RBF)
Amphibians,Spectral (NN),Spectral (RBF),Fowlkes Mallows,0.7235537544968227,Spectral (NN):Spectral (RBF)
Amphibians,Spectral (NN),Spectral (RBF),V Measure,0.014559575778978524,Spectral (NN):Spectral (RBF)
Amphibians,Gaussian MM,Spectral (RBF),ARI,-0.008986091632112225,Gaussian MM:Spectral (RBF)
Amphibians,Gaussian MM,Spectral (RBF),MI,-0.007171019356523827,Gaussian MM:Spectral (RBF)
Amphibians,Gaussian MM,Spectral (RBF),Fowlkes Mallows,0.979233082209558,Gaussian MM:Spectral (RBF)
Amphibians,Gaussian MM,Spectral (RBF),V Measure,0.001679475203159402,Gaussian MM:Spectral (RBF)
Amphibians,HC (average),Spectral (RBF),ARI,-0.002652205350961238,HC (average):Spectral (RBF)
Amphibians,HC (average),Spectral (RBF),MI,0.00012988961200443362,HC (average):Spectral (RBF)
Amphibians,HC (average),Spectral (RBF),Fowlkes Mallows,0.7755860049066603,HC (average):Spectral (RBF)
Amphibians,HC (average),Spectral (RBF),V Measure,0.012302218238886579,HC (average):Spectral (RBF)
Amphibians,HC (complete),Spectral (RBF),ARI,-0.013633768260104224,HC (complete):Spectral (RBF)
Amphibians,HC (complete),Spectral (RBF),MI,-0.00786895077641381,HC (complete):Spectral (RBF)
Amphibians,HC (complete),Spectral (RBF),Fowlkes Mallows,0.9197699353788958,HC (complete):Spectral (RBF)
Amphibians,HC (complete),Spectral (RBF),V Measure,0.0040023479082038965,HC (complete):Spectral (RBF)
Amphibians,HC (single),Spectral (RBF),ARI,-0.009580947250504696,HC (single):Spectral (RBF)
Amphibians,HC (single),Spectral (RBF),MI,-0.007396633356188595,HC (single):Spectral (RBF)
Amphibians,HC (single),Spectral (RBF),Fowlkes Mallows,0.9735820463013259,HC (single):Spectral (RBF)
Amphibians,HC (single),Spectral (RBF),V Measure,0.0018755259451129751,HC (single):Spectral (RBF)
Amphibians,HC (ward),Spectral (RBF),ARI,-0.00892123363980507,HC (ward):Spectral (RBF)
Amphibians,HC (ward),Spectral (RBF),MI,-0.007167063956251344,HC (ward):Spectral (RBF)
Amphibians,HC (ward),Spectral (RBF),Fowlkes Mallows,0.9794927399695379,HC (ward):Spectral (RBF)
Amphibians,HC (ward),Spectral (RBF),V Measure,0.0016577384213098442,HC (ward):Spectral (RBF)
Amphibians,K-Means,Spectral (RBF),ARI,-0.008986091632112225,K-Means:Spectral (RBF)
Amphibians,K-Means,Spectral (RBF),MI,-0.007171019356523827,K-Means:Spectral (RBF)
Amphibians,K-Means,Spectral (RBF),Fowlkes Mallows,0.979233082209558,K-Means:Spectral (RBF)
Amphibians,K-Means,Spectral (RBF),V Measure,0.001679475203159402,K-Means:Spectral (RBF)
Amphibians,K-Means (minibatch),Spectral (RBF),ARI,-0.009754672846618597,K-Means (minibatch):Spectral (RBF)
Amphibians,K-Means (minibatch),Spectral (RBF),MI,-0.007089263326958842,K-Means (minibatch):Spectral (RBF)
Amphibians,K-Means (minibatch),Spectral (RBF),Fowlkes Mallows,0.9624429834738732,K-Means (minibatch):Spectral (RBF)
Amphibians,K-Means (minibatch),Spectral (RBF),V Measure,0.0023296613487160858,K-Means (minibatch):Spectral (RBF)
Amphibians,K-Means++,Spectral (RBF),ARI,-0.008986091632112225,K-Means++:Spectral (RBF)
Amphibians,K-Means++,Spectral (RBF),MI,-0.007171019356523827,K-Means++:Spectral (RBF)
Amphibians,K-Means++,Spectral (RBF),Fowlkes Mallows,0.979233082209558,K-Means++:Spectral (RBF)
Amphibians,K-Means++,Spectral (RBF),V Measure,0.001679475203159402,K-Means++:Spectral (RBF)
Amphibians,Birch,Spectral (RBF),ARI,-0.00892123363980507,Birch:Spectral (RBF)
Amphibians,Birch,Spectral (RBF),MI,-0.007167063956251344,Birch:Spectral (RBF)
Amphibians,Birch,Spectral (RBF),Fowlkes Mallows,0.9794927399695379,Birch:Spectral (RBF)
Amphibians,Birch,Spectral (RBF),V Measure,0.0016577384213098442,Birch:Spectral (RBF)
Amphibians,Spectral (RBF),Spectral (RBF),ARI,1.0,Spectral (RBF):Spectral (RBF)
Amphibians,Spectral (RBF),Spectral (RBF),MI,1.0,Spectral (RBF):Spectral (RBF)
Amphibians,Spectral (RBF),Spectral (RBF),Fowlkes Mallows,1.0,Spectral (RBF):Spectral (RBF)
Amphibians,Spectral (RBF),Spectral (RBF),V Measure,1.0,Spectral (RBF):Spectral (RBF)
TCGA,Gaussian MM,Gaussian MM,ARI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,MI,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,Fowlkes Mallows,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,Gaussian MM,V Measure,1.0,Gaussian MM:Gaussian MM
TCGA,Gaussian MM,K-Means,ARI,0.5777992985251269,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,MI,0.6504094913881957,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,Fowlkes Mallows,0.6788559416038216,Gaussian MM:K-Means
TCGA,Gaussian MM,K-Means,V Measure,0.656607541786668,Gaussian MM:K-Means
TCGA,Gaussian MM,HC (average),ARI,0.010194778992843094,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),MI,0.03304853468672043,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),Fowlkes Mallows,0.4818336186084958,Gaussian MM:HC (average)
TCGA,Gaussian MM,HC (average),V Measure,0.060512510428415406,Gaussian MM:HC (average)
